Stato;Iniziato;Completato;Tempo impiegato;Valutazione/10,00;D. 1 /2,00;D. 2 /2,00;D. 3 /2,00;D. 4 /2,00;D. 5 /2,00
Completato;17 aprile 2023  14:30;17 aprile 2023  14:33;3 min. 4 secondi;4,00;0,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:30;17 aprile 2023  14:36;6 min.;8,00;2,00;2,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:30;17 aprile 2023  14:36;6 min.;2,00;2,00;-;-;-;-
Completato;17 aprile 2023  14:30;17 aprile 2023  14:36;6 min.;6,00;2,00;2,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:35;3 min. 56 secondi;2,00;0,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:36;5 min. 7 secondi;2,00;2,00;0,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:32;1 min. 28 secondi;2,00;2,00;0,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:35;4 min. 1 secondo;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 59 secondi;2,00;2,00;0,00;0,00;0,00;-
Completato;17 aprile 2023  14:31;17 aprile 2023  14:34;3 min. 22 secondi;4,00;0,00;0,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:36;5 min. 9 secondi;4,00;2,00;2,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:35;3 min. 55 secondi;2,00;2,00;0,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:36;5 min. 24 secondi;8,00;2,00;2,00;2,00;2,00;0,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:35;3 min. 49 secondi;4,00;0,00;2,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:35;4 min. 30 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 48 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 58 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:36;4 min. 39 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:31;17 aprile 2023  14:37;5 min. 49 secondi;10,00;2,00;2,00;2,00;2,00;2,00
