Stato;Iniziato;Completato;Tempo impiegato;Valutazione/10,00;D. 1 /2,00;D. 2 /2,00;D. 3 /2,00;D. 4 /2,00;D. 5 /2,00
Completato;17 aprile 2023  14:39;17 aprile 2023  14:48;9 min.;0,00;0,00;-;-;-;-
Completato;17 aprile 2023  14:39;17 aprile 2023  14:48;8 min. 23 secondi;6,00;0,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:48;8 min. 7 secondi;8,00;0,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:43;2 min. 55 secondi;6,00;0,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:49;8 min. 48 secondi;6,00;2,00;2,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:48;8 min.;6,00;2,00;2,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:48;7 min. 26 secondi;4,00;0,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:50;9 min. 49 secondi;4,00;2,00;0,00;2,00;-;-
Completato;17 aprile 2023  14:40;17 aprile 2023  14:46;6 min. 14 secondi;8,00;2,00;2,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:45;4 min. 38 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:40;17 aprile 2023  14:42;2 min.;4,00;0,00;2,00;0,00;0,00;2,00
Completato;17 aprile 2023  14:41;17 aprile 2023  14:42;1 min. 24 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:41;17 aprile 2023  14:47;6 min. 34 secondi;2,00;0,00;2,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:41;17 aprile 2023  14:44;3 min. 10 secondi;8,00;0,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:41;17 aprile 2023  14:47;5 min. 56 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;17 aprile 2023  14:41;17 aprile 2023  14:48;6 min. 17 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:42;17 aprile 2023  14:51;9 min. 1 secondo;4,00;0,00;2,00;0,00;2,00;0,00
Completato;17 aprile 2023  14:42;17 aprile 2023  14:49;7 min. 17 secondi;4,00;0,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:42;17 aprile 2023  14:43;56 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:44;17 aprile 2023  14:51;7 min. 13 secondi;8,00;2,00;-;2,00;2,00;2,00
Completato;17 aprile 2023  14:44;17 aprile 2023  14:48;3 min. 52 secondi;4,00;0,00;2,00;0,00;2,00;0,00
Completato;17 aprile 2023  14:46;17 aprile 2023  14:49;2 min. 57 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:46;17 aprile 2023  14:53;6 min. 33 secondi;4,00;2,00;2,00;0,00;0,00;0,00
Completato;17 aprile 2023  14:48;17 aprile 2023  14:51;3 min. 31 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:48;17 aprile 2023  14:49;1 min. 33 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:48;17 aprile 2023  14:51;2 min. 17 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;17 aprile 2023  14:49;17 aprile 2023  14:49;31 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:49;17 aprile 2023  14:52;2 min. 44 secondi;6,00;0,00;0,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:52;17 aprile 2023  14:53;1 min. 42 secondi;8,00;0,00;2,00;2,00;2,00;2,00
Completato;17 aprile 2023  14:53;17 aprile 2023  14:53;40 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;27 aprile 2023  16:31;27 aprile 2023  16:32;1 min. 38 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;2 giugno 2023  17:56;2 giugno 2023  18:00;4 min. 9 secondi;2,00;0,00;0,00;0,00;2,00;0,00
;;;;6,31;1,13;1,13;1,13;1,38;1,56
