Stato;Iniziato;Completato;Tempo impiegato;Valutazione/10,00;D. 1 /2,00;D. 2 /2,00;D. 3 /2,00;D. 4 /2,00;D. 5 /2,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:28;5 min. 20 secondi;6,00;2,00;2,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:27;4 min. 30 secondi;8,00;2,00;2,00;0,00;2,00;2,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:28;5 min. 10 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:28;5 min. 27 secondi;4,00;0,00;2,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:27;5 min. 5 secondi;2,00;0,00;0,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:26;4 min. 2 secondi;6,00;2,00;0,00;2,00;2,00;0,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:28;6 min.;2,00;0,00;0,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:27;4 min. 19 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;23 marzo 2023  11:22;23 marzo 2023  11:26;3 min. 58 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:28;5 min. 36 secondi;4,00;2,00;0,00;2,00;0,00;0,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;6 min. 1 secondo;8,00;2,00;2,00;0,00;2,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;6 min.;6,00;2,00;2,00;2,00;-;-
Completato;23 marzo 2023  11:23;23 marzo 2023  11:28;5 min. 41 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;5 min. 57 secondi;2,00;0,00;0,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:28;5 min. 37 secondi;6,00;2,00;2,00;0,00;2,00;0,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:28;5 min. 4 secondi;4,00;2,00;0,00;2,00;0,00;0,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;6 min. 1 secondo;6,00;2,00;2,00;2,00;0,00;0,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:26;2 min. 53 secondi;4,00;0,00;0,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:27;4 min. 35 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:27;3 min. 45 secondi;4,00;0,00;2,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:26;3 min. 31 secondi;2,00;0,00;2,00;0,00;0,00;0,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:28;5 min. 31 secondi;4,00;0,00;0,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;6 min. 1 secondo;4,00;2,00;0,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;5 min. 48 secondi;2,00;2,00;0,00;0,00;0,00;0,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;6 min. 1 secondo;2,00;0,00;2,00;0,00;0,00;0,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:27;4 min. 6 secondi;4,00;0,00;0,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:27;3 min. 46 secondi;2,00;0,00;0,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:27;4 min. 23 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:28;4 min. 57 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;6 min. 10 secondi;6,00;2,00;0,00;2,00;2,00;0,00
Completato;23 marzo 2023  11:23;23 marzo 2023  11:29;5 min. 57 secondi;6,00;2,00;2,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:29;5 min. 10 secondi;4,00;0,00;0,00;0,00;2,00;2,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:28;4 min. 39 secondi;8,00;2,00;0,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:28;4 min. 28 secondi;8,00;2,00;2,00;2,00;2,00;0,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:29;5 min. 23 secondi;2,00;0,00;0,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:28;3 min. 56 secondi;6,00;0,00;2,00;0,00;2,00;2,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:30;5 min. 56 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:30;6 min. 1 secondo;6,00;2,00;2,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:30;6 min.;6,00;2,00;2,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:30;5 min. 51 secondi;4,00;0,00;2,00;2,00;0,00;0,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:30;5 min. 43 secondi;4,00;2,00;0,00;2,00;0,00;0,00
Completato;23 marzo 2023  11:24;23 marzo 2023  11:30;6 min.;4,00;0,00;0,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:25;23 marzo 2023  11:31;6 min. 1 secondo;6,00;2,00;2,00;2,00;-;-
Completato;23 marzo 2023  11:25;23 marzo 2023  11:30;5 min. 37 secondi;4,00;2,00;0,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:25;23 marzo 2023  11:31;6 min.;4,00;2,00;2,00;0,00;-;-
Completato;23 marzo 2023  11:26;23 marzo 2023  11:30;3 min. 31 secondi;6,00;0,00;2,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:26;23 marzo 2023  11:30;3 min. 33 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:27;23 marzo 2023  11:33;6 min. 2 secondi;8,00;2,00;2,00;2,00;2,00;-
Completato;23 marzo 2023  11:27;23 marzo 2023  11:31;4 min. 10 secondi;6,00;2,00;0,00;0,00;2,00;2,00
Completato;23 marzo 2023  11:27;23 marzo 2023  11:29;1 min. 57 secondi;4,00;0,00;0,00;0,00;2,00;2,00
Completato;23 marzo 2023  11:41;23 marzo 2023  11:43;2 min. 25 secondi;4,00;0,00;0,00;0,00;2,00;2,00
;;;;5,18;1,25;0,94;0,90;0,71;1,37
