Stato;Iniziato;Completato;Tempo impiegato;Valutazione/10,00;D. 1 /2,00;D. 2 /2,00;D. 3 /2,00;D. 4 /2,00;D. 5 /2,00
Completato;23 marzo 2023  11:35;23 marzo 2023  11:39;4 min. 2 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:35;23 marzo 2023  11:39;3 min. 36 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:35;23 marzo 2023  11:37;1 min. 29 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:36;23 marzo 2023  11:38;2 min. 38 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:36;23 marzo 2023  11:39;3 min. 51 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:36;23 marzo 2023  11:45;9 min.;0,00;-;-;-;-;-
Completato;23 marzo 2023  11:36;23 marzo 2023  11:41;4 min. 56 secondi;8,00;2,00;2,00;2,00;0,00;2,00
Completato;23 marzo 2023  11:36;23 marzo 2023  11:37;1 min. 24 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:36;23 marzo 2023  11:38;1 min. 28 secondi;10,00;2,00;2,00;2,00;2,00;2,00
Completato;23 marzo 2023  11:37;23 marzo 2023  11:41;3 min. 49 secondi;6,00;2,00;2,00;0,00;0,00;2,00
Completato;23 marzo 2023  11:37;23 marzo 2023  11:39;1 min. 23 secondi;10,00;2,00;2,00;2,00;2,00;2,00
;;;;8,55;1,82;1,82;1,64;1,45;1,82
